id,Name_City
1201054,Harihareshwar
3392,Hassan
6185,Hathras
3395,Haveri
3219,Hazaribag
2774,Himatnagar
4223,Hingoli
2956,Hisar
3882,Hoshangabad
4783,Hoshiarpur
3412,Hospet
1000539,Hosur
1200171,Hubli
3413,Hubli Dharwad
2060,Hyderabad
2776,Idar
5272,Idigarai
3616,Idukki
1200046,Idukki Township
4226,Igatpuri
4491,Imphal
3886,Indore
2217,Itanagar
3888,Itarsi
3889,Jabalpur
2959,Jagadhri
4632,Jagatsinghpur
2527,Jagdalpur
1200189,Jaggayapeta
2064,Jagtial
1200145,Jaigad
4949,Jaipur
4951,Jaipur Suburbs
4950,Jaisalmer
4633,Jajpur
4788,Jalandhar
6204,Jalaun
4228,Jalgaon
4230,Jalna
4952,Jalor
6850,Jalpaiguri
3111,Jammu
2781,Jamnagar
3225,Jamshedpur
3226,Jamtara
2408,Jamui
1200185,Janjgir
1202045,Jashpur
3228,Jasidih
6213,Jaunpur
2410,Jehanabad
4234,Jejuri
3900,Jhabua
2961,Jhajjar
4953,Jhalawar
6216,Jhansi
6859,Jhargram
4638,Jharsuguda
4955,Jhunjhunun
2962,Jind
4957,Jodhpur
2290,Jorhat
2788,Junagadh
1200092,Kadampuliyur
1200184,Kadapa
2069,Kadiri
1200211,Kaimur
1200154,Kaiparambu
2964,Kaithal
2071,Kakinada
1200040,Kala Amb
9050,Kalahandi
1001065,Kalka
2793,Kalol
4244,Kalyan
6870,Kalyani
2074,Kamareddy
1200201,Kamrup
3429,Kanakapura
5312,Kancheepuram
1200096,Kandamanur
3048,Kangra District
5317,Kaniyur
1200162,Kanjany
4250,Kankavli
2531,Kanker
6244,Kannauj
3632,Kannur
4960,Kanore
6245,Kanpur
7088,Kansal
5324,kanyakumari
4792,Kapurthala
4252,Karad
4711,Karaikal
5326,Karaikkudi
4964,Karauli
3113,Kargil
2293,Karimganj
2080,Karimnagar
2972,Karnal
1200175,Karunagappally
1002004,Karur
3433,Karwar
3635,Kasaragod
3049,Kasauli
6633,Kashipur
3114,Kathua
2417,Katihar
7230,Katni
1200031,Katrain
1200212,Kaushambi
3734,Kavaratti
2533,Kawardha
1200127,Kayathar
1200070,Keezhmad
4648,Kendrapara
4649,Kendujhar
1200077,Kennalu
2418,Khagaria
3922,Khajuraho
2804,Khambhat
2082,Khammam
7050,Khandala
3924,Khandwa
4797,Khanna
6893,Kharagpur
1202039,Khardi
3927,Khargone
6272,Khatauli
4266,Khed
2806,Kheda
2807,Khedbrahma
6276,Kheri
4269,Khopoli
4657,Khordha
3246,Khunti
1200151,Killannur
2422,Kishanganj
4975,Kishangarh
6900,Koch Bihar
3637,Kochi
1200050,Kodagu
1200106,Kodai Rd
5365,Kodaikanal
3248,Kodarma
4561,Kohima
2297,Kokrajhar
3438,Kolar
4545,Kolasib
4274,Kolhapur
6903,Kolkata
1200032,Kolkhe
3641,Kollam
4660,Konark
1200055,Kondurg
6905,Konnagar
3443,Koppal
4661,Koraput
2541,Korba
6292,Kosi Kalan
4978,Kota
2542,Kota Chhattisgarh
5382,Kotagiri
7093,Kotdwar
1200037,Koteshwar
1200035,Kottakudi
3646,Kottayam
1200066,Koyananagar
3649,Kozhikode
1200191,Krishna
5390,Krishnagiri
6906,Krishnanagar
4280,Kudal
1200027,Kufri
3051,Kullu
1200104,Kumbakarai Kodaikanal Trail
5399,Kumbakonam
2543,Kumhari
4983,Kumher
3455,Kumta
3651,Kunnamkulam
3124,Kupwara
2090,Kurnool
7069,Kurukshetra
6304,Kushinagar
7084,Kutch
5409,Kuzhithurai
6307,Lakhimpur Kheri
2425,Lakhisarai
6311,Lalitpur
6645,Lansdowne
4287,Latur
1200024,Lavasa
3126,Leh
3255,Lohardaga
4290,Lonavala
6317,Lucknow
4806,Ludhiana
4547,Lunglei
2094,Machilipatnam
1200157,Madakkathara
2428,Madhepura
2429,Madhubani
3467,Madikeri
5420,Madurai
5421,Madurantakam
4292,Mahabaleshwar
6323,Maharajganj
2547,Mahasamund
2097,Mahbubnagar
4713,Mahe
2978,Mahendragarh
6917,Maheshtala
6325,Mahoba
6327,Mahona
6331,Mainpuri
4992,Makrana
3653,Malappuram
1001061,Malda
4296,Malegaon
4813,Malout
1200136,Malvan
5427,Mamallapuram
4548,Mamit
1200161,Manakkody
3052,Manali
1200097,Mandal
4995,Mandawa
3053,Mandi
3963,Mandla
3965,Mandsaur
3474,Mandya
1200200,Mangaldoi
3475,Mangalore
1200083,Mangaon
3968,Mangawan
1200029,Manipal
3654,Manjeri
4814,Mansa
1200122,Mariachiwadi
2314,Marigaon
7082,Maroli
6347,Mathura
5430,Matli
9051,Mau
5453,Mayiladuthurai
1200144,Medha
3193,Medininagar
6928,Medinipur
6354,Meerut
2817,Mehsana
1200060,Metikurke
1200179,Mewat
5468,Minjur
1200137,Mirpur
6361,Mirzapur
6363,Modi Nagar
4816,Moga
7062,Mohali
4562,Mokokchung
7046,Moon
6370,Moradabad
2834,Morbi
3980,Morena
2441,Motihari
5002,Mount Abu
1200078,Mugawade
6373,Mughal Sarai
4820,Muktsar
4320,Mumbai
2836,Mundra
2443,Munger
1001063,Munnar
4321,Murbad
6936,Murshidabad
4324,Murud
6652,Mussoorie
6381,Muzaffarnagar
2445,Muzaffarpur
3493,Mysore
4667,Nabarangapur
3668,Nadathara
2837,Nadiad
2317,Nagaon
5486,Nagapattinam
2110,Nagarkurnool
5007,Nagaur
5488,Nagercoil
4327,Nagpur
6654,Nainital
6387,Najibabad
1200194,Nalanda
2319,Nalbari
2111,Nalgonda
1200088,Nalsarovar
5493,Namakkal
7231,Nanded
1200072,Nandore
4337,Nandurbar
2112,Nandyala
1201049,Naraina
2116,Narayanpet
1200202,Narmada
3993,Narsimhapur
2985,Narwana
4339,Nashik
